IMPORTANT FILOGENETIC LINES from 0-th step to global "end of life" in 39380-th step
MODEL PARAMETERS:
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10

FULLCODE	ORDNUMBER	ANCORDNUM	BEGSTEP	ENDSTEP	LIFETIME	CURRAGENTS	ALLAGENTS	FEEDNISHE	DEFFNISHE	FEEDSPEC	DEFFSPEC	SPECJALIS	NISHENAME
f7_7f_3990	3990	165	1810	2100	290	0	163	247	127	7	7	14	f77f	
ef_7f_4260	4260	165	1890	2100	210	0	118	239	127	7	7	14	ef7f	
Au_123_4295	4295	165	1900	2150	250	0	112	255	123	8	6	14	ff7b	
7f_7f_4323	4323	165	1910	5750	3840	0	55459	127	127	7	7	14	7f7f	
7f_7d_6223	6223	4323	2540	3950	1410	0	2728	127	125	7	6	13	7f7d	
7f_6f_7188	7188	4323	2840	3550	710	0	1089	127	111	7	6	13	7f6f	
7f_7d_8373	8373	4323	3200	3500	300	0	217	127	125	7	6	13	7f7d	
7f_6f_10168	10168	4323	3720	4060	340	0	284	127	111	7	6	13	7f6f	
7d_7f_11374	11374	4323	4080	5760	1680	0	3268	125	127	6	7	13	7d7f	
7d_7d_15611	15611	11374	5320	5580	260	0	107	125	125	6	6	12	7d7d	
7f_7b_11747	11747	4323	4180	4630	450	0	368	127	123	7	6	13	7f7b	
7f_7d_13019	13019	4323	4570	6460	1890	0	7813	127	125	7	6	13	7f7d	
7f_3d_16290	16290	13019	5510	6100	590	0	426	127	61	7	5	12	7f3d	
7f_6d_18006	18006	13019	6000	6550	550	0	339	127	109	7	5	12	7f6d	
7f_3f_13311	13311	4323	4660	6650	1990	0	3779	127	63	7	6	13	7f3f	
7f_7d_14659	14659	4323	5040	5370	330	0	237	127	125	7	6	13	7f7d	
fb_7f_4378	4378	165	1930	2280	350	0	172	251	127	7	7	14	fb7f	
Au_123_4780	4780	165	2060	2270	210	0	99	255	123	8	6	14	ff7b	
7f_7f_4795	4795	165	2060	2890	830	0	1664	127	127	7	7	14	7f7f	
Au_125_5052	5052	165	2140	2450	310	0	121	255	125	8	6	14	ff7d	
Au_126_5109	5109	165	2170	2190	20	0	3	255	126	8	6	14	ff7e	
fe_7f_5190	5190	165	2190	2430	240	0	171	254	127	7	7	14	fe7f	
7f_7f_5285	5285	165	2220	2550	330	0	293	127	127	7	7	14	7f7f	
fb_7f_5304	5304	165	2230	2670	440	0	249	251	127	7	7	14	fb7f	
Au_95_5761	5761	165	2370	2820	450	0	270	255	95	8	6	14	ff5f	
Au_125_5903	5903	165	2410	2690	280	0	177	255	125	8	6	14	ff7d	
Au_111_5972	5972	165	2440	3830	1390	0	2022	255	111	8	6	14	ff6f	
ef_7f_7836	7836	165	3040	3380	340	0	196	239	127	7	7	14	ef7f	
f7_7f_8261	8261	165	3170	3260	90	0	21	247	127	7	7	14	f77f	
bf_ff_167	167	1	370	720	350	0	177	191	255	7	8	15	bfff	
7f_ff_174	174	1	380	3670	3290	0	31952	127	255	7	8	15	7fff	
7f_fd_3563	3563	174	1670	2060	390	0	142	127	253	7	7	14	7ffd	
7f_ef_5093	5093	174	2160	2680	520	0	870	127	239	7	7	14	7fef	
7f_fe_5226	5226	174	2200	2610	410	0	197	127	254	7	7	14	7ffe	
6f_ff_6154	6154	174	2510	2880	370	0	185	111	255	6	8	14	6fff	
fe_ff_182	182	1	380	2920	2540	0	19517	254	255	7	8	15	feff	
fe_fe_3984	3984	182	1810	2450	640	0	353	254	254	7	7	14	fefe	
f6_ff_4274	4274	182	1900	2280	380	0	122	246	255	6	8	14	f6ff	
7f_ff_193	193	1	390	1010	620	0	634	127	255	7	8	15	7fff	
ef_ff_195	195	1	390	800	410	0	478	239	255	7	8	15	efff	
ef_df_362	362	195	480	1150	670	0	533	239	223	7	7	14	efdf	
fe_ff_197	197	1	390	910	520	0	1189	254	255	7	8	15	feff	
ef_ff_198	198	1	390	780	390	0	242	239	255	7	8	15	efff	
fe_ff_203	203	1	390	1360	970	0	2726	254	255	7	8	15	feff	
fe_f7_1128	1128	203	810	1130	320	0	141	254	247	7	7	14	fef7	
f7_ff_211	211	1	400	1480	1080	0	699	247	255	7	8	15	f7ff	
df_ff_213	213	1	400	620	220	0	117	223	255	7	8	15	dfff	
fe_ff_218	218	1	400	2760	2360	0	18573	254	255	7	8	15	feff	
Au_255_1757	1757	218	1070	1360	290	0	151	255	255	8	8	16	ffff	
fe_ef_3474	3474	218	1640	1820	180	0	142	254	239	7	7	14	feef	
7e_ff_5894	5894	218	2410	2880	470	0	318	126	255	6	8	14	7eff	
ef_ff_225	225	1	410	900	490	0	441	239	255	7	8	15	efff	
f7_ff_227	227	1	410	1330	920	0	4427	247	255	7	8	15	f7ff	
f7_fb_1250	1250	227	860	1220	360	0	222	247	251	7	7	14	f7fb	
bf_ff_233	233	1	410	1340	930	0	1655	191	255	7	8	15	bfff	
7f_ff_240	240	1	410	980	570	0	648	127	255	7	8	15	7fff	
7f_ff_250	250	1	420	1320	900	0	1276	127	255	7	8	15	7fff	
ef_ff_251	251	1	420	2750	2330	0	15097	239	255	7	8	15	efff	
eb_ff_1950	1950	251	1140	1360	220	0	110	235	255	6	8	14	ebff	
e7_ff_2456	2456	251	1320	2240	920	0	670	231	255	6	8	14	e7ff	
fd_ff_255	255	1	420	1210	790	0	1682	253	255	7	8	15	fdff	
7f_ff_262	262	1	420	3040	2620	0	3528	127	255	7	8	15	7fff	
7f_fe_2979	2979	262	1480	1710	230	0	139	127	254	7	7	14	7ffe	
df_ff_268	268	1	430	2110	1680	0	8427	223	255	7	8	15	dfff	
db_ff_1617	1617	268	1020	1520	500	0	350	219	255	6	8	14	dbff	
f7_ff_269	269	1	430	1820	1390	0	9146	247	255	7	8	15	f7ff	
fe_ff_277	277	1	430	2610	2180	0	11636	254	255	7	8	15	feff	
fe_fe_1181	1181	277	830	1830	1000	0	1015	254	254	7	7	14	fefe	
fe_ff_280	280	1	430	490	60	0	11	254	255	7	8	15	feff	
df_ff_282	282	1	440	750	310	0	179	223	255	7	8	15	dfff	
ef_ff_285	285	1	440	780	340	0	203	239	255	7	8	15	efff	
bf_ff_291	291	1	440	1150	710	0	1310	191	255	7	8	15	bfff	
fd_ff_295	295	1	440	1880	1440	0	3768	253	255	7	8	15	fdff	
fe_ff_297	297	1	440	660	220	0	113	254	255	7	8	15	feff	
fe_ff_317	317	1	460	2180	1720	0	7096	254	255	7	8	15	feff	
fb_ff_318	318	1	460	850	390	0	440	251	255	7	8	15	fbff	
bf_ff_331	331	1	460	1130	670	0	1135	191	255	7	8	15	bfff	
Au_255_649	649	331	600	1010	410	0	245	255	255	8	8	16	ffff	
df_ff_333	333	1	460	790	330	0	116	223	255	7	8	15	dfff	
fd_ff_340	340	1	470	920	450	0	173	253	255	7	8	15	fdff	
fd_ff_371	371	1	490	2500	2010	0	9739	253	255	7	8	15	fdff	
Au_191_381	381	1	490	2140	1650	0	18383	255	191	8	7	15	ffbf	
fe_bf_1944	1944	381	1140	1380	240	0	135	254	191	7	7	14	febf	
df_bf_2623	2623	381	1370	1620	250	0	148	223	191	7	7	14	dfbf	
f7_bf_4063	4063	381	1830	2780	950	0	1399	247	191	7	7	14	f7bf	
fd_ff_386	386	1	490	2460	1970	0	15290	253	255	7	8	15	fdff	
fd_fe_680	680	386	610	1080	470	0	410	253	254	7	7	14	fdfe	
fd_fb_1823	1823	386	1100	1430	330	0	228	253	251	7	7	14	fdfb	
fd_fe_2189	2189	386	1230	2300	1070	0	2726	253	254	7	7	14	fdfe	
fd_7e_2864	2864	2189	1450	2100	650	0	633	253	126	7	6	13	fd7e	
fd_ff_395	395	1	500	2880	2380	0	6459	253	255	7	8	15	fdff	
fd_ef_5610	5610	395	2320	2660	340	0	193	253	239	7	7	14	fdef	
df_ff_399	399	1	500	1000	500	0	277	223	255	7	8	15	dfff	
ef_ff_407	407	1	500	1330	830	0	1081	239	255	7	8	15	efff	
df_ff_411	411	1	500	870	370	0	359	223	255	7	8	15	dfff	
Au_127_412	412	1	510	3810	3300	0	401935	255	127	8	7	15	ff7f	
7f_7f_1234	1234	412	850	6170	5320	0	329039	127	127	7	7	14	7f7f	
7f_5f_2952	2952	1234	1480	4350	2870	0	15400	127	95	7	6	13	7f5f	
5f_5f_10695	10695	2952	3870	4490	620	0	369	95	95	6	6	12	5f5f	
7f_7b_3945	3945	1234	1800	2150	350	0	318	127	123	7	6	13	7f7b	
7d_7f_4020	4020	1234	1820	2840	1020	0	3211	125	127	6	7	13	7d7f	
7d_ff_5970	5970	4020	2440	2780	340	0	187	125	255	6	8	14	7dff	
7d_7e_6740	6740	4020	2700	3400	700	0	586	125	126	6	6	12	7d7e	
7f_3f_4270	4270	1234	1900	3660	1760	0	2705	127	63	7	6	13	7f3f	
7b_7f_4353	4353	1234	1920	4180	2260	0	10129	123	127	6	7	13	7b7f	
7b_7d_7414	7414	4353	2910	3380	470	0	299	123	125	6	6	12	7b7d	
5f_7f_4502	4502	1234	1970	2930	960	0	2824	95	127	6	7	13	5f7f	
5d_7f_5481	5481	4502	2280	2930	650	0	868	93	127	5	7	12	5d7f	
5b_7f_6716	6716	4502	2700	3090	390	0	209	91	127	5	7	12	5b7f	
7f_5f_4537	4537	1234	1980	3630	1650	0	1662	127	95	7	6	13	7f5f	
6f_7f_4618	4618	1234	2000	2220	220	0	138	111	127	6	7	13	6f7f	
7f_3f_4678	4678	1234	2020	2190	170	0	156	127	63	7	6	13	7f3f	
7f_37_5094	5094	4678	2160	2420	260	0	215	127	55	7	5	12	7f37	
Au_127_4680	4680	1234	2020	2100	80	0	20	255	127	8	7	15	ff7f	
7f_ff_5363	5363	1234	2250	2630	380	0	204	127	255	7	8	15	7fff	
6f_7f_5474	5474	1234	2280	2740	460	0	320	111	127	6	7	13	6f7f	
7e_7f_5551	5551	1234	2310	4100	1790	0	8595	126	127	6	7	13	7e7f	
7e_5f_10106	10106	5551	3700	4190	490	0	607	126	95	6	6	12	7e5f	
7f_6f_6007	6007	1234	2450	2940	490	0	376	127	111	7	6	13	7f6f	
3f_7f_6190	6190	1234	2520	4660	2140	0	5241	63	127	6	7	13	3f7f	
7f_5f_6196	6196	1234	2520	2790	270	0	218	127	95	7	6	13	7f5f	
7f_7e_6332	6332	1234	2580	3300	720	0	920	127	126	7	6	13	7f7e	
7f_7b_6812	6812	1234	2720	3780	1060	0	1744	127	123	7	6	13	7f7b	
5f_7f_6924	6924	1234	2760	3020	260	0	157	95	127	6	7	13	5f7f	
7e_7f_7118	7118	1234	2820	3190	370	0	156	126	127	6	7	13	7e7f	
7e_7f_7323	7323	1234	2880	3230	350	0	272	126	127	6	7	13	7e7f	
5f_7f_7447	7447	1234	2920	3360	440	0	256	95	127	6	7	13	5f7f	
77_7f_7557	7557	1234	2950	4150	1200	0	1103	119	127	6	7	13	777f	
5f_7f_7760	7760	1234	3010	4530	1520	0	3479	95	127	6	7	13	5f7f	
7f_7f_9437	9437	7760	3500	3830	330	0	166	127	127	7	7	14	7f7f	
5f_ff_10877	10877	7760	3930	4330	400	0	232	95	255	6	8	14	5fff	
3f_7f_7797	7797	1234	3030	3530	500	0	269	63	127	6	7	13	3f7f	
7f_7d_7953	7953	1234	3070	3880	810	0	1261	127	125	7	6	13	7f7d	
77_7f_8326	8326	1234	3190	3600	410	0	449	119	127	6	7	13	777f	
7f_7b_8600	8600	1234	3260	4930	1670	0	4220	127	123	7	6	13	7f7b	
7f_77_8648	8648	1234	3280	3790	510	0	585	127	119	7	6	13	7f77	
7f_6f_8675	8675	1234	3290	3940	650	0	294	127	111	7	6	13	7f6f	
7f_6b_8915	8915	8675	3360	3940	580	0	554	127	107	7	5	12	7f6b	
7f_ff_8864	8864	1234	3340	3600	260	0	178	127	255	7	8	15	7fff	
7f_3f_8989	8989	1234	3380	3690	310	0	223	127	63	7	6	13	7f3f	
7f_7b_9266	9266	1234	3450	5200	1750	0	3088	127	123	7	6	13	7f7b	
5f_7f_9434	9434	1234	3500	5550	2050	0	11473	95	127	6	7	13	5f7f	
5f_77_10580	10580	9434	3840	3860	20	0	3	95	119	6	6	12	5f77	
5f_7d_13989	13989	9434	4850	6420	1570	0	3120	95	125	6	6	12	5f7d	
5f_3f_14016	14016	9434	4860	6470	1610	0	2997	95	63	6	6	12	5f3f	
1f_3f_16619	16619	14016	5610	10830	5220	0	119483	31	63	5	6	11	1f3f	
1f_1f_18622	18622	16619	6190	15840	9650	0	2254667	31	31	5	5	10	1f1f	
f_1f_21150	21150	18622	6970	7360	390	0	131	15	31	4	5	9	f1f	
1f_f_23992	23992	18622	7820	8070	250	0	123	31	15	5	4	9	1ff	
1f_17_24335	24335	18622	7920	13330	5410	0	83112	31	23	5	4	9	1f17	
1f_15_27363	27363	24335	8850	10310	1460	0	3624	31	21	5	3	8	1f15	
f_17_28854	28854	24335	9330	10060	730	0	999	15	23	4	4	8	f17	
1f_13_30776	30776	24335	9920	10660	740	0	1436	31	19	5	3	8	1f13	
1f_1b_31897	31897	30776	10270	10490	220	0	102	31	27	5	4	9	1f1b	
1f_7_31661	31661	24335	10200	10640	440	0	524	31	7	5	3	8	1f7	
f_17_31847	31847	24335	10260	11090	830	0	1301	15	23	4	4	8	f17	
5f_17_31932	31932	24335	10280	10480	200	0	162	95	23	6	4	10	5f17	
1d_17_34025	34025	24335	10910	11200	290	0	387	29	23	4	4	8	1d17	
1f_1f_36770	36770	24335	11730	14690	2960	0	11751	31	31	5	5	10	1f1f	
3f_1f_45928	45928	36770	14380	14670	290	0	127	63	31	6	5	11	3f1f	
f_17_39659	39659	24335	12610	13000	390	0	184	15	23	4	4	8	f17	
1f_7_40197	40197	24335	12770	13190	420	0	519	31	7	5	3	8	1f7	
17_1f_24456	24456	18622	7950	8140	190	0	187	23	31	4	5	9	171f	
1f_1d_24981	24981	18622	8120	9290	1170	0	2851	31	29	5	4	9	1f1d	
1f_17_25462	25462	18622	8260	9570	1310	0	3000	31	23	5	4	9	1f17	
1f_17_25475	25475	18622	8270	9150	880	0	819	31	23	5	4	9	1f17	
1f_16_27634	27634	25475	8930	11070	2140	0	19193	31	22	5	3	8	1f16	
1f_14_33308	33308	27634	10690	11900	1210	0	6508	31	20	5	2	7	1f14	
f_1f_25572	25572	18622	8300	8580	280	0	182	15	31	4	5	9	f1f	
3f_1f_25744	25744	18622	8350	8550	200	0	157	63	31	6	5	11	3f1f	
3f_1f_25919	25919	18622	8410	8630	220	0	121	63	31	6	5	11	3f1f	
1f_3f_26069	26069	18622	8460	8820	360	0	257	31	63	5	6	11	1f3f	
f_1f_26531	26531	18622	8600	8880	280	0	270	15	31	4	5	9	f1f	
