
EXP:	Thu Dec 27 20:32:56 2018
CO-EVOLUTION [1545939176]
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10

EXP:	Thu Dec 27 20:38:45 2018
CO-EVOLUTION [1545939525]
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10

EXP:	Thu Dec 27 20:56:58 2018
KO-EWOLUCJA [1545940618]
ROZMIAR=	200x100
MAPA=	
WYPOSAZENIE_POTOMSTWA=	0.05
EFEKTYWNOSC_AUTOTROFA=	0.5
MAX_WIEK=	50
PLODNOSC=	0.2
RTG=	0.000625
PRAWDOPODOBIENSTWO KATASTROF=	0(disabled)
EKSPLOATACJA=	DRAPIEZNICZA
DYSTANS RUCHU=	1
BIT_STABILIZACJI_RUCHU=	1024
ELASTYCZNE MIJANIE=	YES
MONTECARLO STEPS per STEP=	10
 STEP/VERSION	liczba agentow	liczba autotrofow	klony	klony autotroficzne	taksony	taksony autotroficzne	klonów od poczatku	taksonów od poczatku	Mean(EnergiaZ)	SD(EnergiaZ)	Max(EnergiaZ)	Mean(WiekZ)	SD(WiekZ)	Max(WiekZ)	Min(OslonaZ)	Max(OslonaZ)	Min(TrofiaZ)	Max(TrofiaZ)	WhichMain(bity autotrofów)	MainClass(bity autotrofów)	WhichMain(bity heterotrofów)	MainClass(bity heterotrofów)	N1(bity autotrofów)	N2(bity autotrofów)	N3(bity autotrofów)	N4(bity autotrofów)	N5(bity autotrofów)	N6(bity autotrofów)	N7(bity autotrofów)	N8(bity autotrofów)	N9(bity autotrofów)	N10(bity autotrofów)	N11(bity autotrofów)	N12(bity autotrofów)	N13(bity autotrofów)	N14(bity autotrofów)	N15(bity autotrofów)	N16(bity autotrofów)	N1(bity heterotrofów)	N2(bity heterotrofów)	N3(bity heterotrofów)	N4(bity heterotrofów)	N5(bity heterotrofów)	N6(bity heterotrofów)	N7(bity heterotrofów)	N8(bity heterotrofów)	N9(bity heterotrofów)	N10(bity heterotrofów)	N11(bity heterotrofów)	N12(bity heterotrofów)	N13(bity heterotrofów)	N14(bity heterotrofów)	N15(bity heterotrofów)	N16(bity heterotrofów)	
40	4957	4025	47	10	6	2	428	163	912.348	2403.57	63506	222.022	13.5332	255	0	255	0	255	16.5	3728	15.5	814	0	0	0	0	0	0	0	0	0	0	0	0	0	1	296	3728	0	0	0	0	0	0	0	0	0	0	0	0	7	111	814	0	
41	4856	4000	44	10	5	1	454	160	925.269	2171.48	54207	222.617	13.5643	255	0	255	0	255	16.5	3708	15.5	745	0	0	0	0	0	0	0	0	0	0	0	0	0	1	291	3708	0	0	0	0	0	0	0	0	0	0	0	0	3	108	745	0	
42	5049	4158	43	12	5	1	477	160	893.71	2211.83	51846	222.554	13.6802	255	0	255	0	255	16.5	3858	15.5	795	0	0	0	0	0	0	0	0	0	0	0	0	0	4	296	3858	0	0	0	0	0	0	0	0	0	0	0	0	5	91	795	0	
43	5127	4228	45	12	6	2	515	171	882.045	2116.56	56858	222.456	13.8133	255	0	255	0	255	16.5	3920	15.5	810	0	0	0	0	0	0	0	0	0	0	0	0	0	6	302	3920	0	0	0	0	0	0	0	0	0	0	0	1	4	84	810	0	
44	5193	4276	44	12	5	1	540	177	857.873	2068.76	53514	222.137	13.6775	255	0	255	0	255	16.5	3991	15.5	831	0	0	0	0	0	0	0	0	0	0	0	0	0	4	281	3991	0	0	0	0	0	0	0	0	0	0	0	0	6	80	831	0	
45	5282	4324	41	10	5	1	565	181	857.567	2165.57	50339	222.26	13.7483	255	0	255	0	255	16.5	4049	15.5	868	0	0	0	0	0	0	0	0	0	0	0	0	0	1	274	4049	0	0	0	0	0	0	0	0	0	0	0	0	7	83	868	0	
46	5462	4485	42	12	5	1	587	177	820.661	2041.24	47529	221.814	13.5167	255	0	255	0	255	16.5	4166	15.5	889	0	0	0	0	0	0	0	0	0	0	0	0	0	3	316	4166	0	0	0	0	0	0	0	0	0	0	0	0	7	81	889	0	
47	5598	4581	45	11	6	2	610	183	817.673	2022.13	46642	221.84	13.3872	255	0	255	0	255	16.5	4243	15.5	908	0	0	0	0	0	0	0	0	0	0	0	0	0	2	336	4243	0	0	0	0	0	0	0	0	0	0	0	0	8	101	908	0	
48	5692	4643	48	13	6	2	639	199	838.233	2125.04	47855	222.042	13.4166	255	0	255	0	255	16.5	4272	15.5	945	0	0	0	0	0	0	0	0	0	0	0	0	0	5	366	4272	0	0	0	0	0	0	0	0	0	0	0	0	11	93	945	0	
49	5751	4671	52	14	6	2	671	212	845.388	2175.23	47965	222.068	13.6557	255	0	255	0	255	16.5	4260	15.5	966	0	0	0	0	0	0	0	0	0	0	0	0	0	8	403	4260	0	0	0	0	0	0	0	0	0	0	0	0	11	103	966	0	
50	5844	4727	55	15	8	2	705	222	838.443	2104.52	46207	221.924	13.622	255	0	255	0	255	16.5	4299	15.5	989	0	0	0	0	0	0	0	0	0	0	0	0	0	10	418	4299	0	0	0	0	0	0	0	0	0	0	0	2	12	114	989	0	
51	5942	4825	49	14	9	3	744	224	822.597	2005.15	42127	221.742	13.4031	255	0	255	0	255	16.5	4365	15.5	997	0	0	0	0	0	0	0	0	0	0	0	0	0	10	450	4365	0	0	0	0	0	0	0	0	0	0	0	1	10	109	997	0	
52	5876	4723	53	14	9	3	779	238	865.155	2190.41	42265	221.89	13.3295	255	0	255	0	255	16.5	4260	15.5	1027	0	0	0	0	0	0	0	0	0	0	0	0	0	7	456	4260	0	0	0	0	0	0	0	0	0	0	0	1	10	115	1027	0	
53	5796	4628	53	15	9	3	807	244	881.291	2273.73	51037	221.575	13.3132	255	0	255	0	255	16.5	4139	15.5	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	10	479	4139	0	0	0	0	0	0	0	0	0	0	0	2	13	119	1034	0	
54	5641	4387	50	14	8	3	847	247	909.537	2431.36	55548	221.636	13.3745	255	0	255	0	255	16.5	3914	15.5	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	5	468	3914	0	0	0	0	0	0	0	0	0	0	0	3	11	137	1103	0	
55	5409	4080	51	13	9	3	875	241	916.71	2462.08	48107	221.352	13.3704	255	0	255	0	255	16.5	3632	15.5	1173	0	0	0	0	0	0	0	0	0	0	0	0	0	5	443	3632	0	0	0	0	0	0	0	0	0	0	0	5	10	141	1173	0	
56	5190	3827	53	13	9	3	904	243	898.322	2449.62	49413	221.189	13.3727	255	0	255	0	255	16.5	3410	15.5	1186	0	0	0	0	0	0	0	0	0	0	0	0	0	7	410	3410	0	0	0	0	0	0	0	0	0	0	0	4	10	163	1186	0	
57	4791	3381	54	13	8	2	926	241	928.152	2654.82	61636	220.854	13.1455	255	0	255	0	255	16.5	2996	15.5	1213	0	0	0	0	0	0	0	0	0	0	0	0	0	9	376	2996	0	0	0	0	0	0	0	0	0	0	0	4	18	175	1213	0	
58	4419	3029	54	14	7	2	961	238	928.838	2698.61	50624	220.546	12.9968	255	0	255	0	255	16.5	2672	15.5	1205	0	0	0	0	0	0	0	0	0	0	0	0	0	12	345	2672	0	0	0	0	0	0	0	0	0	0	0	0	14	171	1205	0	
59	4205	2826	58	14	7	2	994	252	887.761	2634.07	48955	220.079	12.8544	255	0	255	0	255	16.5	2473	15.5	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	13	340	2473	0	0	0	0	0	0	0	0	0	0	0	0	16	178	1185	0	
60	3967	2584	61	13	8	2	1015	246	834.001	2520.62	47234	220.113	12.6668	255	0	255	0	255	16.5	2222	15.5	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	16	346	2222	0	0	0	0	0	0	0	0	0	0	0	0	25	200	1158	0	
61	3783	2485	64	13	7	2	1035	241	812.295	2416.48	47227	220.174	12.5815	255	0	255	0	255	16.5	2098	15.5	1077	0	0	0	0	0	0	0	0	0	0	0	0	0	20	367	2098	0	0	0	0	0	0	0	0	0	0	0	1	28	192	1077	0	
62	3686	2374	62	11	8	2	1053	235	753.29	2106.64	40623	220.19	12.6138	255	0	255	0	255	16.5	1990	15.5	1106	0	0	0	0	0	0	0	0	0	0	0	0	0	13	371	1990	0	0	0	0	0	0	0	0	0	0	0	1	24	181	1106	0	
63	3583	2334	60	13	7	2	1074	235	715.268	1945.57	38215	220.677	12.8357	255	0	255	0	255	16.5	1916	15.5	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	21	397	1916	0	0	0	0	0	0	0	0	0	0	0	1	27	185	1036	0	
64	3573	2345	63	15	7	2	1112	246	654.85	1778.01	40248	220.568	12.9929	255	0	255	0	255	16.5	1882	15.5	992	0	0	0	0	0	0	0	0	0	0	0	0	1	22	440	1882	0	0	0	0	0	0	0	0	0	0	0	1	27	208	992	0	
65	3482	2292	61	14	7	2	1135	238	622.107	1537.5	35557	220.336	12.6965	255	0	255	0	255	16.5	1795	15.5	947	0	0	0	0	0	0	0	0	0	0	0	0	3	26	468	1795	0	0	0	0	0	0	0	0	0	0	0	0	28	215	947	0	
66	3510	2319	59	14	7	2	1153	235	560.227	1257.98	35756	220.395	12.7941	255	0	255	0	255	16.5	1734	15.5	961	0	0	0	0	0	0	0	0	0	0	0	0	6	42	537	1734	0	0	0	0	0	0	0	0	0	0	0	0	29	201	961	0	
67	3463	2352	64	16	7	2	1171	236	545.768	1150.16	31270	220.373	12.7603	255	0	255	0	255	16.5	1674	15.5	897	0	0	0	0	0	0	0	0	0	0	0	0	9	50	619	1674	0	0	0	0	0	0	0	0	0	0	0	0	30	184	897	0	
68	3492	2352	58	13	7	2	1196	240	526.225	1054.34	33784	220.456	12.6731	255	0	255	0	255	16.5	1634	15.5	919	0	0	0	0	0	0	0	0	0	0	0	0	11	47	660	1634	0	0	0	0	0	0	0	0	0	0	0	0	27	194	919	0	
69	3592	2480	64	16	7	2	1221	238	502.967	943.029	29489	220.562	12.7393	255	0	255	0	255	16.5	1675	15.5	887	0	0	0	0	0	0	0	0	0	0	0	0	9	59	737	1675	0	0	0	0	0	0	0	0	0	0	0	0	26	199	887	0	
70	3732	2670	63	15	7	2	1253	242	500.389	903.116	29051	220.824	12.9093	255	0	255	0	255	16.5	1759	15.5	836	0	0	0	0	0	0	0	0	0	0	0	0	9	81	821	1759	0	0	0	0	0	0	0	0	0	0	0	1	22	203	836	0	
71	3983	2960	67	16	6	2	1286	253	494.291	885.936	29681	220.691	12.9568	255	0	255	0	255	16.5	1873	15.5	783	0	0	0	0	0	0	0	0	0	0	0	0	14	92	981	1873	0	0	0	0	0	0	0	0	0	0	0	1	21	218	783	0	
72	4300	3292	70	17	7	3	1322	263	496.599	819.475	28771	220.83	13.0296	255	0	255	0	255	16.5	2048	15.5	768	0	0	0	0	0	0	0	0	0	0	0	0	17	112	1115	2048	0	0	0	0	0	0	0	0	0	0	0	1	23	216	768	0	
73	4690	3685	66	17	6	4	1353	265	494.691	785.4	27407	220.534	13.0039	255	0	255	0	255	16.5	2206	15.5	750	0	0	0	0	0	0	0	0	0	0	0	0	21	125	1333	2206	0	0	0	0	0	0	0	0	0	0	0	2	27	226	750	0	
