"IMPORTANT FILOGENETIC" LINES from 0-th step to global "end of life" in 307-th step
MODEL PARAMETERS:
ROZMIAR=	300x150
MAPA=	
WYPOSAZENIE_POTOMSTWA=	0.05
EFEKTYWNOSC_AUTOTROFA=	0.5
MAX_WIEK=	50
PLODNOSC=	0.2
RTG=	0.000625
PRAWDOPODOBIENSTWO KATASTROF=	0(disabled)
EKSPLOATACJA=	DRAPIEZNICZA
DYSTANS RUCHU=	1
BIT_STABILIZACJI_RUCHU=	1024
ELASTYCZNE MIJANIE=	YES
MONTECARLO STEPS per STEP=	10

FULLCODE	ORDNUMBER	ANCORDNUM	BEGSTEP	ENDSTEP	LIFETIME	CURRAGENTS	ALLAGENTS	FEEDNISHE	DEFFNISHE	FEEDSPEC	DEFFSPEC	SPECJALIS	NISHENAME
3f7f_6b3c	27452	19218	304		3	2	2	63	127	6	7	13	3f7f	
1e7f_6c11	27665	19218	306		1	2	2	30	127	4	7	11	1e7f	
3e7f_4f5c	20316	8038	246	294	48	0	504	62	127	5	7	12	3e7f	
3e7f_588e	22670	8038	265	290	25	0	103	62	127	5	7	12	3e7f	
7f77_1797	6039	904	117	158	41	0	131	127	119	7	6	13	7f77	
7f7e_181b	6171	904	118	132	14	0	69	127	126	7	6	13	7f7e	
7f7b_1934	6452	904	122	210	88	0	763	127	123	7	6	13	7f7b	
7e7f_1a04	6660	904	124	147	23	0	124	126	127	6	7	13	7e7f	
7f7b_1ce1	7393	904	134	218	84	0	860	127	123	7	6	13	7f7b	
777f_1f0b	7947	904	140	231	91	0	648	119	127	6	7	13	777f	
7f7d_2077	8311	904	145	183	38	0	174	127	125	7	6	13	7f7d	
7f77_2ad9	10969	904	170	204	34	0	149	127	119	7	6	13	7f77	
7f7b_2c08	11272	904	172	253	81	0	780	127	123	7	6	13	7f7b	
7f7d_2dd7	11735	904	176	201	25	0	75	127	125	7	6	13	7f7d	
7d7d_3300	13056	11735	187	207	20	0	51	125	125	6	6	12	7d7d	
7e7f_3863	14435	904	199	240	41	0	205	126	127	6	7	13	7e7f	
3f7f_390a	14602	904	200		107	65	3641	63	127	6	7	13	3f7f	
3f77_3c2e	15406	14602	206	307	101	0	1212	63	119	6	6	12	3f77	
3f75_48b5	18613	15406	232	274	42	0	177	63	117	6	5	11	3f75	
3f75_49a8	18856	15406	235		72	61	2325	63	117	6	5	11	3f75	
3f35_5bb8	23480	18856	272		35	52	695	63	53	6	4	10	3f35	
1f35_63e0	25568	23480	288		19	36	455	31	53	5	4	9	1f35	
3f25_6cac	27820	23480	307		0	2	2	63	37	6	3	9	3f25	
3f71_6a92	27282	18856	303		4	3	17	63	113	6	4	10	3f71	
3f6f_6246	25158	14602	285		22	7	41	63	111	6	6	12	3f6f	
1f7f_66bc	26300	14602	294		13	9	54	31	127	5	7	12	1f7f	
3f3f_66ea	26346	14602	295		12	9	68	63	63	6	6	12	3f3f	
3e3f_6bef	27631	26346	306		1	3	3	62	63	5	6	11	3e3f	
3f7b_6a39	27193	14602	302		5	3	14	63	123	6	6	12	3f7b	
7b7f_4839	18489	904	231	235	4	0	3	123	127	6	7	13	7b7f	
fe7f_3a7	935	63	52	92	40	0	315	254	127	7	7	14	fe7f	
7f7f_422	1058	63	55	278	223	0	25158	127	127	7	7	14	7f7f	
777f_977	2423	1058	75	97	22	0	125	119	127	6	7	13	777f	
7e7f_183f	6207	1058	119	189	70	0	533	126	127	6	7	13	7e7f	
7f7e_18d3	6355	1058	121	178	57	0	475	127	126	7	6	13	7f7e	
7f7b_1c5a	7258	1058	132	150	18	0	75	127	123	7	6	13	7f7b	
7e7f_21fe	8702	1058	149	180	31	0	142	126	127	6	7	13	7e7f	
7f7d_2492	9362	1058	155	176	21	0	36	127	125	7	6	13	7f7d	
6f7f_2b0d	11021	1058	170	193	23	0	103	111	127	6	7	13	6f7f	
7fff_2fc9	12233	1058	180	189	9	0	17	127	255	7	8	15	7fff	
f77f_459	1113	63	56	106	50	0	239	247	127	7	7	14	f77f	
ff3f_468	1128	63	56	299	243	0	76230	255	63	8	6	14	ff3f	
ff3d_768	1896	1128	69	90	21	0	156	255	61	8	5	13	ff3d	
ff3b_1123	4387	1128	97	219	122	0	1476	255	59	8	5	13	ff3b	
7f3f_1430	5168	1128	106	127	21	0	68	127	63	7	6	13	7f3f	
ff3e_1456	5206	1128	106	194	88	0	628	255	62	8	5	13	ff3e	
ff2e_215e	8542	5206	147	159	12	0	33	255	46	8	4	12	ff2e	
ff2f_180a	6154	1128	118	172	54	0	449	255	47	8	5	13	ff2f	
ff2f_1a70	6768	1128	126	132	6	0	10	255	47	8	5	13	ff2f	
ff3e_1ad4	6868	1128	127	202	75	0	1084	255	62	8	5	13	ff3e	
ff3e_1b4b	6987	1128	129	210	81	0	1046	255	62	8	5	13	ff3e	
ff3b_1b94	7060	1128	130	194	64	0	502	255	59	8	5	13	ff3b	
ff1f_1baf	7087	1128	130		177	63	9772	255	31	8	5	13	ff1f	
ff1b_4c99	19609	7087	240	243	3	0	2	255	27	8	4	12	ff1b	
ff1b_52ae	21166	7087	253	279	26	0	176	255	27	8	4	12	ff1b	
bf1f_695e	26974	7087	300		7	2	6	191	31	7	5	12	bf1f	
ff7f_1bb4	7092	1128	130	159	29	0	63	255	127	8	7	15	ff7f	
