
EXP:	Thu Dec 27 01:13:49 2018
CO-EVOLUTION [1545869629]
WORLD_SIZE=	200x100
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10
DATA_VER	MCStep	num. of agents	num. of autotrophs	clones	autotrophic clones	species	autotrophic species	clones from the beginning	species from the begining	Mean(EnergyA)	SD(EnergyA)	Max(EnergyA)	Mean(AgeA)	SD(AgeA)	Max(AgeA)	Min(DefenceA)	Max(DefenceA)	Min(TrophyA)	Max(TrophyA)	WhichMain(spec. bits of autotrophs)	MainClass(spec. bits of autotrophs)	WhichMain(spec. bits of heterotrophs)	MainClass(spec. bits of heterotrophs)	N1(spec. bits of autotrophs)	N2(spec. bits of autotrophs)	N3(spec. bits of autotrophs)	N4(spec. bits of autotrophs)	N5(spec. bits of autotrophs)	N6(spec. bits of autotrophs)	N7(spec. bits of autotrophs)	N8(spec. bits of autotrophs)	N9(spec. bits of autotrophs)	N10(spec. bits of autotrophs)	N11(spec. bits of autotrophs)	N12(spec. bits of autotrophs)	N13(spec. bits of autotrophs)	N14(spec. bits of autotrophs)	N15(spec. bits of autotrophs)	N16(spec. bits of autotrophs)	N1(spec. bits of heterotrophs)	N2(spec. bits of heterotrophs)	N3(spec. bits of heterotrophs)	N4(spec. bits of heterotrophs)	N5(spec. bits of heterotrophs)	N6(spec. bits of heterotrophs)	N7(spec. bits of heterotrophs)	N8(spec. bits of heterotrophs)	N9(spec. bits of heterotrophs)	N10(spec. bits of heterotrophs)	N11(spec. bits of heterotrophs)	N12(spec. bits of heterotrophs)	N13(spec. bits of heterotrophs)	N14(spec. bits of heterotrophs)	N15(spec. bits of heterotrophs)	N16(spec. bits of heterotrophs)	CLOCK
26	270	10192	9916	19	9	2	1	73	54	2205.04	4803.21	179164	226.205	14.6361	255	0	255	0	255	16.5	9844	15.5	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	9844	0	0	0	0	0	0	0	0	0	0	0	0	0	3	273	0	10187
27	280	10556	10228	20	10	3	1	81	59	2267.6	5071.59	169665	226.125	14.5172	255	0	255	0	255	16.5	10150	15.5	323	0	0	0	0	0	0	0	0	0	0	0	0	0	1	77	10150	0	0	0	0	0	0	0	0	0	0	0	0	0	5	323	0	10248
28	290	10999	10640	20	10	3	1	91	64	2272.3	5218.72	196518	226.054	14.6141	255	0	255	0	255	16.5	10547	15.5	353	0	0	0	0	0	0	0	0	0	0	0	0	0	1	92	10547	0	0	0	0	0	0	0	0	0	0	0	0	0	6	353	0	10310
29	300	11373	10953	20	10	3	1	100	68	2334.03	5612.33	264237	226.142	14.6933	255	0	255	0	255	16.5	10863	15.5	414	0	0	0	0	0	0	0	0	0	0	0	0	0	1	89	10863	0	0	0	0	0	0	0	0	0	0	0	0	0	6	414	0	10370
30	310	11722	11250	21	10	3	1	112	72	2337.32	6237.61	318481	225.705	14.6689	255	0	255	0	255	16.5	11146	15.5	463	0	0	0	0	0	0	0	0	0	0	0	0	0	1	103	11146	0	0	0	0	0	0	0	0	0	0	0	0	0	9	463	0	10432
31	320	12013	11463	22	10	3	1	122	77	2391.21	6981.73	329915	225.449	14.5587	255	0	255	0	255	16.5	11354	15.5	542	0	0	0	0	0	0	0	0	0	0	0	0	0	2	107	11354	0	0	0	0	0	0	0	0	0	0	0	0	0	8	542	0	10496
32	330	12278	11673	23	10	3	1	131	82	2425.82	7434.8	409092	225.217	14.5363	255	0	255	0	255	16.5	11553	15.5	595	0	0	0	0	0	0	0	0	0	0	0	0	0	3	117	11553	0	0	0	0	0	0	0	0	0	0	0	0	0	10	595	0	10569
33	340	12466	11790	21	9	4	1	137	80	2497.13	7861.41	421839	225.137	14.4881	255	0	255	0	255	16.5	11669	15.5	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	11669	0	0	0	0	0	0	0	0	0	0	0	0	0	13	663	0	10637
34	350	12555	11847	20	9	3	1	147	74	2552.16	8048.46	430745	225.117	14.4509	255	0	255	0	255	16.5	11707	15.5	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	11707	0	0	0	0	0	0	0	0	0	0	0	0	0	8	700	0	10704
35	360	12914	12130	20	9	4	1	155	76	2539.32	7517.73	208464	224.894	14.5282	255	0	255	0	255	16.5	11984	15.5	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	11984	0	0	0	0	0	0	0	0	0	0	0	0	0	13	771	0	10770
36	370	13106	12231	21	9	4	1	165	80	2596.76	8137.81	206052	224.671	14.5594	255	0	255	0	255	16.5	12078	15.5	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	12078	0	0	0	0	0	0	0	0	0	0	0	0	0	15	860	0	10837
37	380	13093	12114	24	9	4	1	179	87	2625.55	8156.66	258347	224.559	14.458	255	0	255	0	255	16.5	11953	15.5	961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	11953	0	0	0	0	0	0	0	0	0	0	0	0	0	18	961	0	10905
38	390	12887	11875	22	9	4	1	188	88	2693.15	8431	245635	224.832	14.471	255	0	255	0	255	16.5	11726	15.5	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	11726	0	0	0	0	0	0	0	0	0	0	0	0	0	22	990	0	10979
39	400	12651	11543	20	9	4	1	199	89	2780.55	8726.87	240235	224.75	14.5956	255	0	255	0	255	16.5	11388	15.5	1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	11388	0	0	0	0	0	0	0	0	0	0	0	0	0	31	1077	0	11049
40	410	12142	10947	21	9	5	1	213	89	2907.93	9168.56	218933	224.832	14.7898	255	0	255	0	255	16.5	10783	15.5	1168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	10783	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1168	0	11116
41	420	11661	10397	24	9	5	1	223	91	2962.36	9776.04	234822	224.247	14.6827	255	0	255	0	255	16.5	10216	15.5	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	10216	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1234	0	11185
42	430	11203	9918	26	10	5	1	237	97	3005.46	10397.2	282233	223.718	14.5255	255	0	255	0	255	16.5	9751	15.5	1249	0	0	0	0	0	0	0	0	0	0	0	0	0	2	165	9751	0	0	0	0	0	0	0	0	0	0	0	0	0	36	1249	0	11250
43	440	10911	9592	28	11	5	1	254	99	2994.48	10550.1	272112	223.252	14.329	255	0	255	0	255	16.5	9440	15.5	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	3	149	9440	0	0	0	0	0	0	0	0	0	0	0	0	0	38	1281	0	11314
44	450	10632	9256	28	12	7	1	275	107	2990.83	10611.8	278030	222.953	14.1729	255	0	255	0	255	16.5	9072	15.5	1343	0	0	0	0	0	0	0	0	0	0	0	0	0	4	180	9072	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1343	0	11377
45	460	10303	8903	29	12	6	1	288	104	3083.68	11064.3	311126	223.126	14.249	255	0	255	0	255	16.5	8722	15.5	1362	0	0	0	0	0	0	0	0	0	0	0	0	0	4	177	8722	0	0	0	0	0	0	0	0	0	0	0	0	0	38	1362	0	11440
46	470	9941	8483	32	11	6	1	300	104	3162.96	11414.9	280271	222.994	14.3314	255	0	255	0	255	16.5	8292	15.5	1412	0	0	0	0	0	0	0	0	0	0	0	0	0	6	185	8292	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1412	0	11503
47	480	9618	8129	30	11	6	1	309	102	3234.57	12121.4	309766	222.401	14.2912	255	0	255	0	255	16.5	7935	15.5	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	4	190	7935	0	0	0	0	0	0	0	0	0	0	0	0	0	53	1436	0	11568
48	490	9240	7708	29	11	8	1	320	103	3261.65	12615.2	305676	221.947	14.0486	255	0	255	0	255	16.5	7540	15.5	1474	0	0	0	0	0	0	0	0	0	0	0	0	0	2	166	7540	0	0	0	0	0	0	0	0	0	0	0	0	0	58	1474	0	11632
49	500	8966	7401	30	11	8	1	331	101	3335.18	13523.7	330497	221.728	13.9148	255	0	255	0	255	16.5	7228	15.5	1503	0	0	0	0	0	0	0	0	0	0	0	0	0	5	168	7228	0	0	0	0	0	0	0	0	0	0	0	0	0	62	1503	0	11695
50	510	8765	7195	32	11	8	1	339	100	3289.84	13801.7	379615	221.172	13.6513	255	0	255	0	255	16.5	6998	15.5	1485	0	0	0	0	0	0	0	0	0	0	0	0	0	6	191	6998	0	0	0	0	0	0	0	0	0	0	0	0	0	85	1485	0	11758
51	520	8463	6815	30	11	8	1	349	93	3354.66	14326	389568	220.939	13.5193	255	0	255	0	255	16.5	6618	15.5	1545	0	0	0	0	0	0	0	0	0	0	0	0	0	4	193	6618	0	0	0	0	0	0	0	0	0	0	0	0	0	103	1545	0	11821
52	530	8142	6501	30	11	8	1	360	94	3455.92	14812.5	351277	220.478	13.398	255	0	255	0	255	16.5	6293	15.5	1542	0	0	0	0	0	0	0	0	0	0	0	0	0	11	197	6293	0	0	0	0	0	0	0	0	0	0	0	0	0	99	1542	0	11882
53	540	7814	6100	29	10	8	1	372	93	3439.22	14564.7	350905	220.07	13.2567	255	0	255	0	255	16.5	5893	15.5	1613	0	0	0	0	0	0	0	0	0	0	0	0	0	9	198	5893	0	0	0	0	0	0	0	0	0	0	0	0	0	101	1613	0	11946
54	550	7618	5927	29	10	8	1	378	92	3315.44	14285.2	334750	219.392	12.8517	255	0	255	0	255	16.5	5702	15.5	1595	0	0	0	0	0	0	0	0	0	0	0	0	0	5	220	5702	0	0	0	0	0	0	0	0	0	0	0	0	0	96	1595	0	12001
55	560	7524	5795	27	10	8	1	388	89	3278.06	14206.1	304645	218.987	12.5584	255	0	255	0	255	16.5	5556	15.5	1640	0	0	0	0	0	0	0	0	0	0	0	0	0	4	235	5556	0	0	0	0	0	0	0	0	0	0	0	0	0	89	1640	0	12059
56	570	7223	5411	26	9	8	1	392	80	3333.52	14406.8	303298	218.498	12.1972	255	0	255	0	255	16.5	5208	15.5	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	3	200	5208	0	0	0	0	0	0	0	0	0	0	0	0	0	81	1731	0	12118
57	580	6868	4988	25	9	8	1	399	80	3468.38	15723.5	426641	218.092	12.108	255	0	255	0	255	16.5	4777	15.5	1781	0	0	0	0	0	0	0	0	0	0	0	0	0	4	207	4777	0	0	0	0	0	0	0	0	0	0	0	0	0	99	1781	0	12174
58	590	6704	4730	28	10	8	1	411	85	3496.92	16272.2	379161	217.72	11.9748	255	0	255	0	255	16.5	4503	15.5	1858	0	0	0	0	0	0	0	0	0	0	0	0	0	8	219	4503	0	0	0	0	0	0	0	0	0	0	0	0	0	116	1858	0	12229
59	600	6462	4496	30	9	8	1	420	87	3441.78	15913.1	369042	217.184	11.4278	255	0	255	0	255	16.5	4261	15.5	1859	0	0	0	0	0	0	0	0	0	0	0	0	0	16	219	4261	0	0	0	0	0	0	0	0	0	0	0	0	1	106	1859	0	12281
60	610	6229	4243	31	9	8	1	430	91	3363.03	16102	371808	217.098	11.3505	255	0	255	0	255	16.5	3991	15.5	1874	0	0	0	0	0	0	0	0	0	0	0	0	0	17	235	3991	0	0	0	0	0	0	0	0	0	0	0	0	3	109	1874	0	12334
61	620	6089	4109	30	9	9	2	438	89	3309.77	15739.6	381762	216.861	11.3082	255	0	255	0	255	16.5	3813	15.5	1894	0	0	0	0	0	0	0	0	0	0	0	0	0	25	271	3813	0	0	0	0	0	0	0	0	0	0	0	0	6	80	1894	0	12387
62	630	5864	3915	28	9	9	2	448	88	3353.25	15591.8	344726	216.933	11.1244	255	0	255	0	255	16.5	3580	15.5	1865	0	0	0	0	0	0	0	0	0	0	0	0	0	32	303	3580	0	0	0	0	0	0	0	0	0	0	0	0	5	79	1865	0	12444
63	640	5637	3665	30	10	9	2	465	93	3375.48	15668.9	334909	216.694	10.9569	255	0	255	0	255	16.5	3314	15.5	1886	0	0	0	0	0	0	0	0	0	0	0	0	0	31	320	3314	0	0	0	0	0	0	0	0	0	0	0	0	6	80	1886	0	12497
64	650	5722	3732	28	10	9	2	479	95	3208.3	15199.6	318998	216.568	10.9775	255	0	255	0	255	16.5	3335	15.5	1903	0	0	0	0	0	0	0	0	0	0	0	0	0	34	363	3335	0	0	0	0	0	0	0	0	0	0	0	0	10	77	1903	0	12547
